pl_name	pl_orbsmax	pl_eqt	pl_orbper	pl_masse	pl_masseerr1	pl_masseerr2	pl_rade	pl_radeerr1	pl_radeerr2	st_rad	st_mass	st_teff	st_spectype	sy_jmag	sy_vmag	sy_kmag	sy_dist	sy_pnum	hostname	disc_year	TSM	td_perc	sig_prim_ppm	sig_seco_ppm	ARIEL	JWST
HD 15337 c	0.1268	642.0	17.1784	8.11	1.82	-1.69	2.39	0.12	-0.12	0.86	0.9	5125.0	K1 V	7.553	9.1	7.044	44.8155	2	HD 15337	2019	57.0	0.06491387590116013	82.0	7.0		True
TOI-776 c	0.1	415.0	15.6653	5.3	1.8	-1.8	2.02	0.14	-0.14	0.54	0.54	3709.0	M1 V	8.483	11.536	7.615	27.1701	2	TOI-776	2020	56.0	0.11761260269626095	124.0	10.0		True
HIP 116454 b	0.07765	745.0	9.0949	10.1	1.2	-1.1	2.53	0.18	-0.18	0.72	0.76	5089.0		8.604	10.19	8.029	62.4491	1	HIP 116454	2014	55.0	0.10378024485017502	129.0	10.0		
K2-100 b	0.0301	1841.0	1.6739035	21.8	6.2	-6.2	3.88	0.16	-0.16	1.24	1.15	5945.0	G0 V	9.463	10.651	9.182	188.959	1	K2-100	2016	53.0	0.08229220937233286	179.0	14.0		
L 98-59 b	0.02191	627.0	2.2531136	0.4	0.16	-0.15	0.85	0.061	-0.047	0.3	0.27	3415.0	M3 V	7.933	11.685	7.101	10.6194	4	L 98-59	2019	53.0	0.06747361573661338	598.0	48.0	True	True
GJ 143 b	0.1915	422.0	35.61253	22.7	2.2	-1.9	2.61	0.17	-0.16	0.69	0.73	4640.0	K4.5	6.081	8.08	5.375	16.32	2	GJ 143	2019	53.0	0.12026007620551515	39.0	3.0		
TOI-4010 b	0.0229	1441.0	1.348335	11.0	1.29	-1.27	3.02	0.08	-0.08	0.83	0.88	4960.0	K V	10.649	12.291	10.157	177.504	4	TOI-4010	2023	50.0	0.11127467709020854	293.0	23.0		
GJ 367 b	0.0071	1745.0	0.321962	0.546	0.078	-0.078	0.718	0.054	-0.054	0.46	0.45	3522.0	M1.0 V	6.632	10.153	5.78	9.41263	1	GJ 367	2021	50.0	0.020477261040352746	313.0	25.0	True	True
K2-32 d	0.18422	550.0	31.71701	6.7	2.5	-2.5	3.484	0.112	-0.129	0.86	0.83	5271.0		10.404	12.304	9.821	157.682	4	K2-32	2016	50.0	0.13794248063593292	262.0	21.0		
HD 18599 b	0.048	993.6728431655416	4.1374354	24.1	7.1	-7.7	2.6	0.15	-0.13	0.77	0.86	5145.0	K2 V	7.428	8.99	6.883	38.5653	1	HD 18599	2022	50.0	0.0958305293473475	68.0	5.0		
TOI-1266 c	0.1058	344.0	18.80151	2.2	2.0	-1.5	1.56	0.15	-0.13	0.42	0.45	3600.0	M3	9.706	12.941	8.84	36.0118	2	TOI-1266	2020	49.0	0.11595494051029047	188.0	15.0		
TOI-1246 b	0.049	955.0	4.30744	8.1	1.1	-1.1	3.01	0.06	-0.06	0.86	0.87	5151.0	K V	10.294	11.632	9.907	169.422	4	TOI-1246	2022	49.0	0.10296146899600864	243.0	19.0		
TOI-125 b	0.05186	1037.0	4.65382	9.5	0.88	-0.88	2.726	0.075	-0.075	0.85	0.86	5320.0	K0 V	9.466	11.023	8.995	111.059	3	TOI-125	2019	49.0	0.08644751090244861	171.0	14.0		True
K2-266 d	0.1035	538.3	14.697	8.9	5.7	-3.8	2.93	0.14	-0.12	0.7	0.69	4285.0		9.611	11.625	8.897	77.5586	4	K2-266	2018	48.0	0.14725762851875634	174.0	14.0		
K2-3 b	0.0747	501.3	10.0546535	5.11	0.65	-0.64	2.078	0.076	-0.067	0.55	0.55	3844.0	M V	9.421	12.168	8.561	44.0727	3	K2-3	2015	48.0	0.11997875443094236	163.0	13.0		
TOI-1260 b	0.0367	871.0	3.127463	8.56	1.54	-1.54	2.41	0.05	-0.05	0.67	0.68	4227.0		9.698	11.922	8.95	73.5977	3	TOI-1260	2021	46.0	0.10874846142283727	177.0	14.0		
TOI-733 b	0.0618	1055.8	4.884765	5.72	0.7	-0.68	1.992	0.085	-0.09	0.95	0.96	5585.0	G	8.22	9.44	7.845	75.2092	1	TOI-733	2023	46.0	0.036954735576702175	90.0	7.0		
HD 20329 b	0.018	2141.0	0.926118	7.42	1.09	-1.09	1.72	0.07	-0.07	1.13	0.9	5596.0		7.492	8.76	7.116	63.6796	1	HD 20329	2022	46.0	0.01947325936877048	64.0	5.0		
K2-167 b	0.091	1174.0	9.97748	6.5	1.6	-1.5	2.3	0.21	-0.14	1.49	1.01	6011.0		7.202	8.24	6.887	80.8994	1	K2-167	2018	45.0	0.020027271100635676	55.0	4.0		
LTT 1445 A c	0.02661	508.0	3.1239035	1.54	0.2	-0.19	1.147	0.055	-0.054	0.27	0.26	3340.0		7.294	10.59	6.496	6.86929	2	LTT 1445 A	2022	45.0	0.15168336302384589	382.0	31.0	True	
